,Unnamed: 0,comments,rating
58,58,hàng sx tháng  năm   mấy ông fpt hoàng hà ỏng eo hết hàng  mắc mệt  lên đây mua chuẩn nhanh chuẩn hãng khoẻ,Cực kì hài lòng
59,59,sp tốt  rất hài lòng,Cực kì hài lòng
60,60,sách vẫn còn shield  bìa đẹp  gói cẩn thận,Cực kì hài lòng
61,61,ship nhanh  nước ngon,Cực kì hài lòng
62,62,dùng tốt  k biêt chuc nang  qos chỗ nào để cai đặt,Cực kì hài lòng
63,63,phù hợp vs mức giá,Cực kì hài lòng
64,64,ghế cực xịn  dễ lắp ráp  mình là nữ tự lắp được luôn  cấu tạo chắc chắn ,Cực kì hài lòng
66,66,nhận được block nước tặng mà ko thấy cái ao được tặng đâu cả,Cực kì hài lòng
67,67, mình biết cuốn này cũng đã lâu rồi  nhưng bây giờ mới  đú trend        không cần phải nói gì thêm vì trending cây cam đã quá nổi đối với giới mọt và những người không thường xuyên đọc sách rồi  nhưng để thú vị hơn thì bìa sách in chữ nổi  rất sạch  rất đẹp và ruột sách thì rất thơm       đây là văn học kinh điển của brazil ở thế kỷ   lời khuyên là sách rất đáng đồng tiền  nếu những bạn nào còn đang đắn đo không biết có nên mua hay không  từ hình thức bên ngoài lẫn nội dung bên trong đều hoàn toàn xứng đáng với sự chờ đợi và đồng tiền của độc giả  sự đồng cảm trong văn chương luôn là một cách    xem thêm,Cực kì hài lòng
68,68,hàng giống hình bao đẹp bao chất lượng  chưa dùng nên không biết như nào cơ mà hàng giao đúng thời gian dự kiến có phiếu bảo hành và anh shiper nhiệt tình cho shop  sao  hi vọng những lần khác mua hàng cũng đảm bảo chất lượng như vậy,Cực kì hài lòng
69,69,giao hàng nhanh  được đóng gói cẩn thận  sử dụng thì thấy hơi ồn tí nhưng với tầm giá  thì cũng chấp nhận được  đánh răng cảm giác sạch hơn bình thường kha khá  phù hợp với người mới dùng bàn chải điện ,Cực kì hài lòng
70,70,chuột đẹp  cầm vừa tay  bấm êm ko nghe tiếng ,Cực kì hài lòng
71,71,giao hàng nhanh  vừa dùng thử cũng tạm được,Cực kì hài lòng
72,72,nhận được sản phẩm nhanh chóng  đúng hẹn và khá cẩn thận của tiki  rất hài lòng ,Cực kì hài lòng
73,73,tiki giao hàng nhanh  sp tốt  sóng mạnh  chờ thời gian sử dụng thêm xem sao ,Cực kì hài lòng
74,74,ship nhanh đặt   mà   đã nhận đc nặng mùi nhựa khi nấu,Cực kì hài lòng
75,75,dùng ổn nha  nhanh nóng  đúng mẫu  xinhhhh,Cực kì hài lòng
76,76,good,Cực kì hài lòng
77,77,đọc nhức nhức cái đầu tốn tiền mua panasonic quá  nhưng mà nghe nói hay lắm  nên mua nha  ,Cực kì hài lòng
78,78,hiệu năng tuyệt vời luôn,Cực kì hài lòng
79,79,đúng chính hãng,Cực kì hài lòng
80,80,sách đọc cực kỳ cuốn đối với một người không nhiều kiến thức về tâm lý học như mình,Cực kì hài lòng
81,81,kk,Cực kì hài lòng
82,82,sản phẩm dùng quá ok  giao hàng nhanh đóng gói cẩn thận chắc chắn ,Cực kì hài lòng
83,83,mình là một kẻ nghĩ nhiều  sách phân tích tâm lý hay,Cực kì hài lòng
84,84,mình đọc sơ qua và thấy rất hay  do mình thích tlh nữa nên là perfect  à  mình có viết  bài review về sách này trên ig của mình  liguang ,Cực kì hài lòng
85,85,sản phẩm tốt hơn mong đợi  mua đúng dịp km nên được giá tốt  cảm ơn tiki nhé ,Cực kì hài lòng
86,86,cá nhân mình khi đọc cuốn sách này những trang đầu không có gì cuốn lắm nhưng không hiểu sao càng đọc càng thấy có gì đó đọng lại  lời văn  nội dung nhẹ nhàng nhưng giàu cảm xúc khiến mình cảm động và đồng cảm với những gì mà zeze thể hiện và trải qua  thật sự đây là cuốn sách ý nghĩa và phù hợp với mọi lứa tuổi,Cực kì hài lòng
87,87,đóng gói chắc chắn  giao hàng nhanh thật sự,Cực kì hài lòng
88,88,hàng xịn như quảng cáo,Cực kì hài lòng
89,89,giao hàng siêu nhanh  hàng đúng chính hãng  apple vn  sản xuất năm ,Cực kì hài lòng
90,90,tốt,Cực kì hài lòng
91,91,tuyệt,Cực kì hài lòng
92,92,hàng chất lượng,Cực kì hài lòng
93,93,chất vải tương đối tốt  mỗi tội k có  cái túi nào  muốn đi bộ ra ngoài k có đựng chìa khoá,Cực kì hài lòng
94,94,san pham huu ich ,Cực kì hài lòng
96,96,ghế ngon,Cực kì hài lòng
97,97,máy tốt  chính hãng  đóng gói cực kỳ cẩn thận  giao hàng thì nhanh khỏi bàn  mua hàng tiki trading là yên tâm nhất,Cực kì hài lòng
98,98,good,Cực kì hài lòng
99,99,bàn chải đẹp  cấp độ rung  giao nhanh  có thêm bình giữ nhiệt làm quà khá ok ,Cực kì hài lòng
100,100,mua đc giá rẻ giao hàng nhanh,Cực kì hài lòng
101,101,sản phẩm bắt sóng rất tốt  độ bền cần dùng  thời gian để đánh giá ,Cực kì hài lòng
102,102,xin xò,Cực kì hài lòng
104,104,xài ok   boost mạng nhanh hơn hẳn ,Cực kì hài lòng
105,105,tuyệt,Cực kì hài lòng
106,106,ko có tem fpt như nhiều người review  ko rõ check ntn thì là hàng chuẩn,Cực kì hài lòng
107,107,giao hàng siêu nhanh tối đặt sáng có luôn  đóng gói cẩn thận  nếu sản phẩm dùng tốt sẽ đặt cho người thân  ,Cực kì hài lòng
109,109,sạc xịn  giao hàng nhanh,Cực kì hài lòng
110,110,sản phẩm dùng rất mượt da,Cực kì hài lòng
111,111,shop giao thiếu ly  nhưng đã gửi lại đủ hàng nhiệt tình,Cực kì hài lòng
112,112,chắc chắn  hơn cả mong đợi với giá thành,Cực kì hài lòng
113,113,rất hài lòng  mặc dù lúc đầu nút caps lock của e bị liệt liệt       nhưng sau khi sử dụng thì nó đã đỡ hơn dễ nhấn hơn  sản phẩm tốt  giá ổn mà chất lượng thì an tâm  tiki giao cũng nhanh chỉ trễ  ngày thoi ạ  ,Cực kì hài lòng
115,115,hang tot,Cực kì hài lòng
116,116,hàng chính hãng tuyệt vời nha tiki cũng tuyệt vời  quên chụp hình mất tiu,Cực kì hài lòng
117,117,sản phẩm tốt,Cực kì hài lòng
118,118,sản phẩm đẹp  giao hàng nhah,Cực kì hài lòng
119,119,khá xinh    ,Cực kì hài lòng
120,120, quyển sách rất hay nên mình không bình luận gì về sách cả  cái mình không hài lòng là thái độ và cách giao hàng của người giao hàng  lần đầu tiên mình bị vấn đề như vậy sau nhiều năm mua đồ trên tiki  anh giao hàng giao lúc mình không có nhà  ban đầu anh kêu mình ra một chỗ cách xa nhà mình để lấy  sau đó mình nói với anh là giao tới nhà đi mình gọi người nhà nhận hàng giúp mình  vì đây là đơn đã thanh toán rồi  anh bảo mình nhắn giúp cái tin  đã nhận hàng  cho anh  gọi  lần để nhắc mình chuyện ấy dù mình chưa nhận được hàng  lần thứ  anh gọi lại cho mình báo đã giao hàng rồi  nhắn tin giúp    xem thêm,Cực kì hài lòng
121,121,nhận nồi chiên ko dầu rồi  nhưng ko thấy tặng kèm chào nướng shop ơi,Cực kì hài lòng
122,122,lương về mình trở lại nạp xu chơi thử vận may trúng và sắp đồ thôi bà con ơi,Cực kì hài lòng
123,123,sách đẹp  giao nhanh ,Cực kì hài lòng
124,124,mình xin được hủy phiếu nay,Cực kì hài lòng
125,125,đẹp,Cực kì hài lòng
126,126,giao hàng nhanh chưa dùng nên chưa đánh giá về chất lượng,Cực kì hài lòng
127,127,quá đẹp luôn    ,Cực kì hài lòng
128,128,hàng giao nhanh  đóng gói đẹp  chất lượng tốt  bìa sách khá là oke  sẽ ủng hộ shop lần sau ạaa,Cực kì hài lòng
129,129,tốt,Cực kì hài lòng
130,130,tiện lợi  thực phẩm ngon và hợp vệ sinh  nên mua,Cực kì hài lòng
131,131,sách rất hay  đóng gói cẩn thận,Cực kì hài lòng
132,132,máy rất xịn  chính hãng bảo hành  giao siêu nhanh  đặt  thì  đã giao  perfect service for tiki ,Cực kì hài lòng
133,133,giao đúng hẹn  sách còn mới  hộp móp nhẹ,Cực kì hài lòng
134,134,cuộc sống ko bao giờ là bế tắc thực sự hay có khái niệm mất tất cả một khi bạn còn có niềm tin  thật dễ nuối tiếc về một điều gì đó đã mất đi nhưng sẽ rất khó nhận ra và trân trọng những gì ta đang có ,Cực kì hài lòng
135,135,tốt dễ sử dụng,Cực kì hài lòng
136,136,sóng mạnh  nói chung ưa đó,Cực kì hài lòng
137,137,hàng nguyên seal mới  xài ok nhé  bỏ vào ipad là nhận ngay,Cực kì hài lòng
138,138,đóng gói kỹ càng  máy dung tích lớn nên sd rất thoải mái  tiết kiệm được rất nhiều thời gian  sp rất tốt  ,Cực kì hài lòng
139,139,ok,Cực kì hài lòng
140,140,sản phẩm đẹp hơn mong đợi  cổng sạc c thông  dụng cùng những mẫu đt đời mới bây giờ ,Cực kì hài lòng
141,141,sách hay  giao hàng nhanh  sách đc bao lại nên yên tâm  đóng gói ok,Cực kì hài lòng
142,142,sp chất lượng rất ok  giặt sấy không bị co  nhưng tôi muốn mua màu tối mà lại toàn màu sáng   con trai tôi không thích màu sáng giờ lại đặt mua thêm màu tối có được không shop ,Cực kì hài lòng
143,143,tot       ,Cực kì hài lòng
144,144,giao hàng lâu  chờ mãi đóng gói cẩn thận,Cực kì hài lòng
145,145,to hơn mình nghĩ  chiên khá ngon  vàng đều  mặt  mua đợt khuyến mãi có  cảm thấy rất ưng ý ,Cực kì hài lòng
146,146,muốn nhạn quà thi sao ha tiki,Cực kì hài lòng
147,147,đóng gói cẩn thận dùng rất ổn,Cực kì hài lòng
148,148,giao hàng đúng mẫu  thùng mới  tã mềm và thấm hút tốt ,Cực kì hài lòng
149,149,giao hàng nhanh  chưa dùng nhưng cho  sao,Cực kì hài lòng
150,150,nồi to lắm luôn  đẹp  mình mới chạy thử chế độ làm sạch ,Cực kì hài lòng
151,151,sản phẩm đẹp  chải rất phê,Cực kì hài lòng
152,152,ok đáng đồng tiền  dễ lắp ráp   ,Cực kì hài lòng
153,153,mình chưa đọc nên chưa biết nội dung ra sao nghe review thì thấy nội dung khá ổn nên hi vọng lắm  giao hàng rất nhanh dù đang dịch nặng như bây giờ gói hàng cẩn thận và sách cực kì mới luôn,Cực kì hài lòng
154,154,nồi dùng ổn,Cực kì hài lòng
155,155,okey  sản phẩm phù hợp   sử dụng được  thông minh cho người dùng,Cực kì hài lòng
156,156,chuột dùng cũng ok nhưng mà click tiếng ko êm và chắc tay như loại màu đỏ cùng model mình đã từng mua ở tiki,Cực kì hài lòng
157,157,sản phẩm đóng gói cẩn thận  sản phẩm chắc chắn  đầy đủ phụ kiện  bảo có quà sao không thấy ,Cực kì hài lòng
158,158,sản phẩm chính hãng  giao siêu nhanh  đóng gói cẩn thận   nhân viên giao hàng nhiệt tình ,Cực kì hài lòng
159,159,áp vô số mã giảm giá thì giá còn   quá rẻ cho  chiếc pro  mã zp a nhưng vẫn được bảo hành chính hãng ở vn  các bạn tiki support trả lời nhanh cho các vấn đề mà mình cần tư vấn  quá ưng ,Cực kì hài lòng
160,160,tốt,Cực kì hài lòng
161,161,đóng gói rất cẩn thận cho shop  ,Cực kì hài lòng
162,162,ghế ngon,Cực kì hài lòng
163,163,sách mới giá rẻ giao hàng nhanh  dày lắm mng ạ  mua lúc sale   còn   nhưng cuốn này từng sale rẻ hơn chỉ khoảng hơn  một chút,Cực kì hài lòng
164,164,chưa biết độ bền ra sao nhưng bước đầu nghe khá ok  ,Cực kì hài lòng
165,165,xài ok,Cực kì hài lòng
166,166,giao hàng nhanh  hàng chất lượng,Cực kì hài lòng
167,167,mặc rất thoải mái trong mùa hè,Cực kì hài lòng
168,168,good,Cực kì hài lòng
169,169,đóng gói cẩn thận  giao nhanh  không lo hàng giả,Cực kì hài lòng
170,170,hàng chuẩn sa a  ship nhanh,Cực kì hài lòng
171,171,giao hàng nhanh lắmm  tiki trading thì khá là yên tâm rùi,Cực kì hài lòng
172,172,rất là oke luôn giảm còn có  còn được  coin   nhận được cả  quà là máy thẩm thấu với bình coffee luôn   rất là ưng ý luôn á   giao trong ngày   hàng nguyên vẹn   tuyệt vời  rung rất êm   tiếng nhỏ lắm   rcm nên mua nha mọi người,Cực kì hài lòng
173,173,giao nhanh  đúng ngày  hàng còn nguyên seal  chưa sử dụng nên chưa nhận xét  nhưng vụ bảo hành sau này nếu ko may sạc bị trục trặc thì sao nhỉ các bác ,Cực kì hài lòng
174,174,rất tốt,Cực kì hài lòng
175,175,dùng cực thích,Cực kì hài lòng
176,176,sách hay  giúp mình hiểu hơn về những gì đang diễn ra trong suy nghĩ của mình  tuy nhiên đợt này tiki tệ quá  mình đặt cả hơn  ngày mới giao dù sp thì vẫn sale ào ào nha,Cực kì hài lòng
177,177,sản phẩm chất lượng tốt  đóng gói cẩn thận và giao hàng nhanh  giá cả cũng rất phù hợp ,Cực kì hài lòng
178,178,có thể dùng để cắm cơm luôn  rất tiện lợi  chỉ là nắp gài ko được chắc chắn lắm  nhưng so với giá tiền thì như này rất ok rồi,Cực kì hài lòng
179,179,sản phẩm tốt,Cực kì hài lòng
180,180,tiki giao hàng siêu nhanh  chưa đến  ngày đã nhận đươc sách chất lượng,Cực kì hài lòng
181,181,ok,Cực kì hài lòng
182,182,quần phù hợp cho mùa hè nhưng nên chia thành  lựa chọn tông sáng và tông tối cho người mua lựa chọn,Cực kì hài lòng
183,183,mới nhận hàng  đeo thử thấy nhẹ  chất lượng âm thanh tốt  khá bất ngờ với mức giá này mà đc vậy  chỉ là có bền không thì cần thời gian trả lời ,Cực kì hài lòng
184,184,mua tikitrading chưa bao giờ phải lo lắng  bọc hàng rất kĩ  giao nhanh   chạy rất êm và không nóng máy,Cực kì hài lòng
185,185,ok phết,Cực kì hài lòng
186,186,tai nghe hay dễ kết nối  đẹp  dễ dùng lắm  hàng nguyên seal  ưng ý,Cực kì hài lòng
187,187,cũng khá ổn,Cực kì hài lòng
188,188,very good ,Cực kì hài lòng
189,189,sản phẩm đẹp  dùng rất mượt,Cực kì hài lòng
190,190,một tác phẩm hay  đáng để đọc  mặc dù mình ko đồng ý với quan điểm về chủ nghĩa cá nhân của tác giả nhưng suối nguồn vẫn là một tác phẩm cho người đọc rất nhiều suy ngẫm ,Cực kì hài lòng
191,191,sản phẩm được gói hàng kĩ càng  không bị hư hại gì ạ  cảm ơn tiki đã mang đến cho mình cuốn sách này hì  ,Cực kì hài lòng
192,192,đúng sản phẩm chính hãng,Cực kì hài lòng
193,193,hàng dùng ok,Cực kì hài lòng
194,194,nhận sản phẩm đúng như hình  có chảo nướng  nhìn bên ngoài ổn  khá lớn  nhưng chưa sử dụng nên không đánh giá gì thêm  mua lúc sale giá hơn   thấy ok nên mua  để thời gian sử dụng lâu hơn sẽ đánh giá thêm ,Cực kì hài lòng
195,195,      bao bì rất cẩn thật nên khi ship về sách rất đẹp và ko bị gấp góc ạ  mua tại  https   ti ki  ,Cực kì hài lòng
196,196,giao hàng nhanh  đóng gói tốt  chưa dùng nên chưa biết chất lượng thế nào  tay cầm chắc chắn  kéo rổ chiên dễ dàng,Cực kì hài lòng
197,197,giao hàng cực nhanh  một cuốn sách hay và cho chúng ta biết  điều  cuộc sống này sẽ thật khốn khổ nếu thiếu lòng yêu thương và niềm trắc ẩn    cảm ơn ông bồ    và yêu  tiểu tóc hung  ,Cực kì hài lòng
198,198,đẹp chất lượng ổn định an toàn,Cực kì hài lòng
199,199,ok ,Cực kì hài lòng
200,200,sp tốt,Cực kì hài lòng
201,201,đóng gói kỹ  hàng không bị bóp méo  sách còn nguyên seal  sách cuốn lắm nha ,Cực kì hài lòng
202,202,mua được một tháng  nay mới đánh giá  hàng nguyên siêu  máy ngon bổ rẻ  cày game thì khỏi bàn  chụp hình thì khỏi lăn tăng  mua bản vn a mắc hơn xíu nhưng nó có giá trị hơn nhập khẩu  khỏi lăn tăng máy lock hay unlock,Cực kì hài lòng
203,203,sách giao đến có seal bọc đàng hoàng nhưng hơi tiếc bị móp ở phía dưới sách,Cực kì hài lòng
204,204,ship siêu nhanh  đóng gói cẩn thận và điện thoại dùng mượt ,Cực kì hài lòng
205,205,tốt,Cực kì hài lòng
206,206,người yêu rất thích  đi rửa mặt cũng mang theo call cho mình,Cực kì hài lòng
207,207,hàng chuẩn chính hãng  giao hàng nhanh  nhận hàng sau khi đặt  ngày  nguyên seal  cảm ơn tiki                    ,Cực kì hài lòng
208,208,shop giao đúng qui cách và số lượng  chưa uống thử nên chưa biết mùi vị thế nào  khi nào dùng qua sẽ quay lại đánh giá ,Cực kì hài lòng
209,209,gjych hchcvh,Cực kì hài lòng
210,210,mình đã thư thấy rất  ok còn nâu dài  thì phải  đợi  nói  chung  là ok,Cực kì hài lòng
211,211,sách tâm lý hay cho các bạn trẻ khi chưa biết yêu thương mình,Cực kì hài lòng
212,212,xài được  tháng thấy rất tốt  chiên chín  giòn  màu đẹp  giao hàng gói đẹp  an toàn    tưởng to nhưng thật ra ko to  xài đc nhiều hơn,Cực kì hài lòng
213,213,rẻ,Cực kì hài lòng
214,214,rất ok nhé  ngày trc mua sách của tiki là hên xui vô cùng vì sợ bị nát nhưng bây h tiki đã chú ý hơn về vc vận chuyển món đồ nên lần này sách siêu đẹp ko nát luôn nha    đồng thơi sách cũng mới  đẹp nên cho đánh gia  sao luôn nha,Cực kì hài lòng
215,215, đỉm k có gì để chê nhét được ngyên con gà thoải mái luôn mua về mẹ mình lôi ra nấu miết lại còn mua lúc sale có  hôm trc hôm sau đã ship đến rồi nếu có nhiều hơn  sao cũng tặng luôn    ,Cực kì hài lòng
216,216,tuyệt vời,Cực kì hài lòng
217,217,chịu nha  cầm nặng tay  vật liệu hoàn thiện đẹp mắt  so với cái oral b braun đang dùng thích hơn hẳn  lông bàn chải mềm  rung mạnh âm thanh êm ái k quá ồn ào  thích lắm,Cực kì hài lòng
218,218,sách hay và rất dễ hiểu rất đáng tham khảo để biết về hành vi con người,Cực kì hài lòng
219,219,giao hàng đúng hẹn nhạn chóng hàng chuẩn nha,Cực kì hài lòng
220,220,sản phẩm đẹp  sử dụng tiện lợi,Cực kì hài lòng
221,221,sách mới cứng  sang sịn mịn,Cực kì hài lòng
222,222,so với việc đọc vị người khác thì việc nhìn lại chính bản thân mình lại là cái mình đánh giá cao hơn,Cực kì hài lòng
223,223,dùng rất tiện,Cực kì hài lòng
224,224,chất lượng tốt giao hàng nhanh,Cực kì hài lòng
225,225,công nhận tiki giao hàng nhanh ghê sản phẩm ok so với giá tiền bass trend trầm rõ ko rè shop tư vấn cũng nhiệt tình cho  ,Cực kì hài lòng
226,226,rất tốt,Cực kì hài lòng
227,227,rẻ nhưng rất chất lượng nhé  nên mua  cảm ứng nhạy  âm thanh rõ nét  chống ồn tương đối tốt,Cực kì hài lòng
228,228,giao hàng nhanh  đóng gói kĩ  xài ok,Cực kì hài lòng
229,229,sản phẩm tốt   rất ưng ý,Cực kì hài lòng
230,230,đặt mua cái thứ  và rất ưng ý với số tiền bỏ ra ,Cực kì hài lòng
231,231,sản phẩm tốt  date xa  giao hàng nhanh,Cực kì hài lòng
232,232,mới sử dụng chưa biết độ bền sao nhưng hiện tại khá ok ,Cực kì hài lòng
233,233,sách hay diễn tả những hành vi thông thường của con người  giúp chúng ta có nhìn nhận trong cuộc sống sách hay nhiều bạn trẻ nên đọc để có cái nhìn tích cực hơn trong cuộc sống cũng như điều chỉnh cảm xúc với những tình huống phù hợp hơn ,Cực kì hài lòng
234,234,tai nghe rất đáng tiền  tiện lợi  nhỏ gọn  kiểu dáng đẹp thời trang,Cực kì hài lòng
235,235,bình thường mình mua chỗ khác nay mua thử ở tiki     đóng gói cẩn thận,Cực kì hài lòng
236,236,giao hàng nhanh  trước dự kiến  ngày  gói kỹ  hộp đẹp  bình rất dễ thương   chất lượng của lock   lock nên rất tin tưởng  giữ nhiệt tốt  mong thêm được đồ bền vì em chỉ mới nhận hàng hôm qua   chúc mọi người mua được hàng tốt ,Cực kì hài lòng
237,237,thanh toán nhanh gọn có thể tích luỹ,Cực kì hài lòng
238,238,vẫn thích cách giao hàng tiki xịn  nhanh  gọn gàng,Cực kì hài lòng
239,239,hàng chính hãng  giá tốt    ,Cực kì hài lòng
240,240,sản phẩm tốt  có tính năng chống nước nên yên tâm lúc vệ sinh máy bằng nước,Cực kì hài lòng
241,241,ok,Cực kì hài lòng
242,242,nước rất là ngon  mình may mắn nhận đc ly rap bao đẹp nha,Cực kì hài lòng
243,243,hàng chính hãng nguyên seal,Cực kì hài lòng
